Date;Interest_rate;CPI;G&P5DP;S00;Treasury_Bond_1year;Treasury_Bond_10year;Unemployment;Debt
1995-09-01;5.8;153.1;7683.125;578.77;5.62;6.2;5.6;5192.5
1995-10-01;5.76;153.5;7772.586;582.92;5.59;6.04;5.5;5234.9
1995-11-01;5.8;153.7;7772.586;595.53;5.43;5.93;5.6;5270.8
1995-12-01;5.6;153.9;7772.586;614.57;5.31;5.71;5.6;5305.8
1996-01-01;5.56;154.7;7868.468;614.42;5.09;5.65;5.6;5307.9
1996-02-01;5.22;155.0;7868.468;649.54;4.94;5.81;5.5;5241.1
1996-03-01;5.31;155.5;7868.468;647.07;5.34;6.27;5.5;5296.2
1996-04-01;5.22;156.1;8032.84;647.17;5.54;6.51;5.6;5239.9
1996-05-01;5.24;156.4;8032.84;661.23;5.64;6.74;5.6;5239.3
1996-06-01;5.27;156.7;8032.84;668.5;5.81;6.91;5.3;5294.8
1996-07-01;5.4;157.0;8131.408;644.07;5.85;6.87;5.5;5311.5
1996-08-01;5.22;157.2;8131.408;662.68;5.67;6.64;5.1;5303.1
1996-09-01;5.3;157.7;8131.408;674.88;5.83;6.83;5.2;5357.4
1996-10-01;5.24;158.2;8259.771;701.46;5.55;6.53;5.2;5436.7
1996-11-01;5.31;158.7;8259.771;735.67;5.42;6.2;5.4;5529.3
1996-12-01;5.29;159.1;8259.771;743.25;5.47;6.3;5.4;5496.2
1997-01-01;5.25;159.4;8362.655;766.22;5.61;6.58;5.3;5471.7
1997-02-01;5.19;159.7;8362.655;798.39;5.53;6.42;5.2;5491.6
1997-03-01;5.39;159.8;8362.655;792.16;5.8;6.69;5.2;5464.2
1997-04-01;5.51;159.9;8518.825;763.93;5.99;6.89;5.1;5458.3
1997-05-01;5.5;159.9;8518.825;833.09;5.87;6.71;4.9;5468.6
1997-06-01;5.56;160.2;8518.825;876.29;5.69;6.49;5.0;5520.4
1997-07-01;5.52;160.4;8662.823;925.29;5.54;6.22;4.9;5604.5
1997-08-01;5.54;160.8;8662.823;927.24;5.56;6.3;4.8;5576.0
1997-09-01;5.54;161.2;8662.823;937.02;5.52;6.21;4.9;5623.9
1997-10-01;5.5;161.5;8765.907;951.16;5.46;6.03;4.7;5678.3
1997-11-01;5.52;161.7;8765.907;938.92;5.46;5.88;4.6;5713.0
1997-12-01;5.5;161.8;8765.907;962.37;5.53;5.81;4.7;5777.0
1998-01-01;5.56;162.0;8866.48;963.36;5.24;5.54;4.6;5808.6
1998-02-01;5.51;162.0;8866.48;1023.74;5.31;5.57;4.6;5805.5
1998-03-01;5.49;162.0;8866.48;1076.83;5.39;5.65;4.7;5817.4
1998-04-01;5.45;162.2;8969.699;1112.2;5.38;5.64;4.3;5771.7
1998-05-01;5.49;162.6;8969.699;1108.42;5.44;5.65;4.4;5801.3
1998-06-01;5.56;162.8;8969.699;1108.39;5.41;5.5;4.5;5866.6
1998-07-01;5.54;163.2;9121.097;1156.58;5.36;5.46;4.5;5833.1
1998-08-01;5.55;163.4;9121.097;1074.62;5.21;5.34;4.5;5967.1
1998-09-01;5.51;163.5;9121.097;1020.64;4.71;4.81;4.6;6017.5
1998-10-01;5.07;163.9;9293.991;1032.47;4.12;4.53;4.5;6020.2
1998-11-01;4.83;164.1;9293.991;1144.43;4.53;4.83;4.4;6028.0
1998-12-01;4.68;164.4;9293.991;1190.05;4.52;4.65;4.4;6035.8
1999-01-01;4.63;164.7;9411.682;1248.77;4.51;4.72;4.3;6042.3
1999-02-01;4.76;164.7;9411.682;1246.58;4.7;5.0;4.4;5925.4
1999-03-01;4.81;164.8;9411.682;1281.66;4.78;5.23;4.2;5947.5
1999-04-01;4.74;165.9;9526.21;1334.76;4.69;5.18;4.3;5876.5
1999-05-01;4.74;166.0;9526.21;1332.07;4.85;5.54;4.2;5837.9
1999-06-01;4.76;166.0;9526.21;1322.55;5.1;5.9;4.3;5848.4
1999-07-01;4.99;166.7;9686.626;1380.99;5.03;5.79;4.3;5820.7
1999-08-01;5.07;167.1;9686.626;1327.49;5.2;5.94;4.2;5832.3
1999-09-01;5.22;167.8;9686.626;1318.17;5.25;5.92;4.2;5828.5
1999-10-01;5.2;168.1;9900.169;1300.01;5.43;6.11;4.1;5830.4
1999-11-01;5.42;168.4;9900.169;1391.0;5.55;6.03;4.1;5814.4
1999-12-01;5.3;168.8;9900.169;1428.68;5.84;6.28;4.0;5852.5
2000-01-01;5.45;169.3;10002.179;1425.59;6.12;6.66;4.0;5777.2
2000-02-01;5.73;170.0;10002.179;1388.87;6.22;6.52;4.1;5835.2
2000-03-01;5.85;171.0;10002.179;1442.21;6.22;6.26;4.0;5926.6
2000-04-01;6.02;170.9;10247.72;1461.36;6.15;5.99;3.8;5813.7
2000-05-01;6.27;171.2;10247.72;1418.48;6.33;6.44;4.0;5760.0
2000-06-01;6.53;172.2;10247.72;1461.96;6.17;6.1;4.0;5839.8
2000-07-01;6.54;172.7;10318.165;1473.0;6.08;6.05;4.0;5832.1
2000-08-01;6.5;172.7;10318.165;1485.46;6.18;5.83;4.1;5883.8
2000-09-01;6.52;173.6;10318.165;1468.05;6.13;5.8;3.9;5869.1
2000-10-01;6.51;173.9;10435.744;1390.14;6.01;5.74;3.9;5867.6
2000-11-01;6.51;174.2;10435.744;1378.04;6.09;5.72;3.9;5969.5
2000-12-01;6.4;174.6;10435.744;1330.93;5.6;5.24;3.9;5984.4
2001-01-01;5.98;175.6;10470.231;1335.63;4.81;5.16;4.2;6065.5
2001-02-01;5.49;176.0;10470.231;1305.75;4.68;5.1;4.2;6112.7
2001-03-01;5.31;176.1;10470.231;1185.85;4.3;4.89;4.3;6145.7
2001-04-01;4.8;176.4;10599.0;1189.84;3.98;5.14;4.4;5969.7
2001-05-01;4.21;177.3;10599.0;1270.37;3.78;5.39;4.3;5964.8
2001-06-01;3.97;177.7;10599.0;1238.71;3.58;5.28;4.5;6030.7
2001-07-01;3.77;177.4;10598.02;1204.45;3.62;5.24;4.6;6089.1
2001-08-01;3.65;177.4;10598.02;1178.5;3.47;4.97;4.9;6159.6
2001-09-01;3.07;178.1;10598.02;1044.64;2.82;4.73;5.0;6251.2
2001-10-01;2.49;177.6;10660.465;1076.59;2.33;4.57;5.3;6349.5
2001-11-01;2.09;177.5;10660.465;1129.68;2.18;4.65;5.5;6290.3
2001-12-01;1.82;177.4;10660.465;1144.93;2.22;5.09;5.7;6292.8
2002-01-01;1.73;177.7;10783.5;1140.21;2.16;5.04;5.7;6289.0
2002-02-01;1.74;178.0;10783.5;1100.67;2.23;4.91;5.7;6370.5
2002-03-01;1.73;178.5;10783.5;1153.79;2.57;5.28;5.7;6267.2
2002-04-01;1.75;179.3;10887.46;1111.93;2.48;5.21;5.9;6318.4
2002-05-01;1.75;179.5;10887.46;1079.25;2.35;5.16;5.8;6350.8
2002-06-01;1.75;179.6;10887.46;1014.02;2.2;4.93;5.8;6504.6
2002-07-01;1.73;180.0;10984.04;903.59;1.96;4.65;5.8;6601.3
2002-08-01;1.74;180.5;10984.04;912.55;1.76;4.26;5.7;6725.1
2002-09-01;1.75;180.8;10984.04;867.81;1.72;3.87;5.7;6834.9
2002-10-01;1.75;181.2;11061.433;854.63;1.65;3.94;5.7;6819.7
2002-11-01;1.34;181.5;11061.433;909.93;1.49;4.05;5.9;6818.4
2002-12-01;1.24;181.8;11061.433;899.18;1.45;4.03;6.0;6975.8
2003-01-01;1.24;182.6;11174.129;895.84;1.36;4.05;5.8;6941.9
2003-02-01;1.26;183.6;11174.129;837.03;1.3;3.9;5.9;7040.2
2003-03-01;1.25;183.9;11174.129;846.63;1.24;3.81;5.9;7011.9
2003-04-01;1.26;183.2;11312.766;890.03;1.27;3.96;6.0;7009.3
2003-05-01;1.26;182.9;11312.766;935.96;1.18;3.57;6.1;7218.7
2003-06-01;1.22;183.1;11312.766;988.0;1.01;3.33;6.3;7290.0
2003-07-01;1.01;183.7;11566.669;992.54;1.12;3.98;6.2;7163.8
2003-08-01;1.03;184.5;11566.669;989.53;1.31;4.45;6.1;7198.9
2003-09-01;1.01;185.1;11566.669;1019.44;1.24;4.27;6.1;7302.6
2003-10-01;1.01;184.9;11772.234;1038.73;1.25;4.29;6.0;7309.9
2003-11-01;1.0;185.0;11772.234;1049.9;1.34;4.3;5.8;7345.3
2003-12-01;0.98;185.5;11772.234;1080.64;1.31;4.27;5.7;7444.8
2004-01-01;1.0;186.3;11923.447;1132.52;1.24;4.15;5.7;7480.2
2004-02-01;1.01;186.7;11923.447;1143.36;1.24;4.08;5.6;7604.1
2004-03-01;1.0;187.1;11923.447;1123.98;1.19;3.83;5.8;7656.9
2004-04-01;1.0;187.4;12112.815;1133.36;1.43;4.35;5.6;7479.0
2004-05-01;1.0;188.2;12112.815;1102.78;1.78;4.72;5.6;7517.6
2004-06-01;1.03;188.9;12112.815;1132.76;2.12;4.73;5.6;7599.1
2004-07-01;1.26;189.1;12305.307;1105.85;2.1;4.5;5.5;7655.7
2004-08-01;1.43;189.2;12305.307;1088.94;2.02;4.28;5.4;7769.7
2004-09-01;1.61;189.8;12305.307;1117.66;2.12;4.13;5.4;7788.2
2004-10-01;1.76;190.8;12527.214;1117.21;2.23;4.1;5.5;7862.0
2004-11-01;1.93;191.7;12527.214;1168.94;2.5;4.19;5.4;7870.9
2004-12-01;2.16;191.7;12527.214;1199.21;2.67;4.23;5.4;7976.2
2005-01-01;2.28;191.6;12767.286;1181.41;2.86;4.22;5.3;8023.2
2005-02-01;2.5;192.4;12767.286;1199.63;3.03;4.17;5.4;8043.2
2005-03-01;2.63;193.1;12767.286;1194.9;3.3;4.5;5.2;8075.7
2005-04-01;2.79;193.7;12922.656;1164.43;3.32;4.34;5.2;8135.8
2005-05-01;3.0;193.6;12922.656;1178.28;3.33;4.14;5.1;8194.0
2005-06-01;3.04;193.7;12922.656;1202.25;3.36;4.0;5.0;8268.7
2005-07-01;3.26;194.9;13142.642;1222.24;3.64;4.18;5.0;8214.7
2005-08-01;3.5;196.1;13142.642;1224.27;3.87;4.26;4.9;8324.7
2005-09-01;3.62;198.8;13142.642;1225.92;3.85;4.2;5.0;8244.1
2005-10-01;3.78;199.1;13324.204;1191.96;4.18;4.46;5.0;8268.7
2005-11-01;4.0;198.1;13324.204;1237.37;4.33;4.54;5.0;8332.3
2005-12-01;4.16;198.1;13324.204;1262.07;4.35;4.47;4.9;8449.7
2006-01-01;4.29;199.3;13599.16;1278.73;4.45;4.42;4.7;8445.1
2006-02-01;4.49;199.4;13599.16;1276.65;4.68;4.57;4.8;8504.4
2006-03-01;4.59;199.7;13599.16;1293.74;4.77;4.72;4.7;8515.2
2006-04-01;4.79;200.7;13753.424;1302.17;4.9;4.99;4.7;8463.4
2006-05-01;4.94;201.3;13753.424;1290.01;5.0;5.11;4.6;8440.3
2006-06-01;4.99;201.8;13753.424;1253.17;5.16;5.11;4.6;8497.3
2006-07-01;5.24;202.9;13870.188;1260.24;5.22;5.09;4.7;8570.7
2006-08-01;5.25;203.8;13870.188;1287.15;5.08;4.88;4.7;8700.3
2006-09-01;5.25;202.8;13870.188;1317.74;4.97;4.72;4.5;8721.6
2006-10-01;5.25;201.9;14039.56;1363.38;5.01;4.73;4.4;8800.6
2006-11-01;5.25;202.0;14039.56;1388.64;5.01;4.6;4.5;8892.6
2006-12-01;5.24;203.1;14039.56;1416.42;4.94;4.56;4.4;8868.2
2007-01-01;5.25;203.437;14215.651;1424.16;5.06;4.76;4.6;8871.6
2007-02-01;5.26;204.226;14215.651;1444.8;5.05;4.72;4.5;9014.5
2007-03-01;5.26;205.288;14215.651;1406.95;4.92;4.56;4.4;9064.0
2007-04-01;5.25;205.904;14402.082;1463.64;4.93;4.69;4.5;9066.0
2007-05-01;5.25;206.755;14402.082;1511.14;4.91;4.75;4.4;8966.1
2007-06-01;5.25;207.234;14402.082;1514.19;4.96;5.1;4.6;8977.0
2007-07-01;5.26;207.603;14564.117;1520.71;4.96;5.0;4.7;9124.9
2007-08-01;5.02;207.667;14564.117;1454.62;4.47;4.67;4.6;9259.5
2007-09-01;4.94;208.547;14564.117;1497.12;4.14;4.52;4.7;9279.9
2007-10-01;4.76;209.19;14715.058;1539.66;4.1;4.53;4.7;9384.7
2007-11-01;4.49;210.834;14715.058;1463.39;3.5;4.15;4.7;9644.8
2007-12-01;4.24;211.445;14715.058;1479.22;3.26;4.1;5.0;9702.1
2008-01-01;3.94;212.174;14706.538;1378.76;2.71;3.74;5.0;9883.8
2008-02-01;2.98;212.687;14706.538;1354.87;2.05;3.74;4.9;10039.7
2008-03-01;2.61;213.448;14706.538;1316.94;1.54;3.51;5.1;10128.0
2008-04-01;2.28;213.942;14865.701;1370.47;1.74;3.68;5.0;9932.8
2008-05-01;1.98;215.208;14865.701;1403.22;2.06;3.88;5.4;9824.8
2008-06-01;2.0;217.463;14865.701;1341.25;2.42;4.1;5.6;9969.0
2008-07-01;2.01;219.016;14898.999;1257.33;2.28;4.01;5.8;10045.5
2008-08-01;2.0;218.69;14898.999;1281.47;2.18;3.89;6.1;10134.7
2008-09-01;1.81;218.877;14898.999;1216.95;1.91;3.69;6.1;10475.3
2008-10-01;0.97;216.995;14608.209;968.8;1.42;3.81;6.5;10904.6
2008-11-01;0.39;213.153;14608.209;883.04;1.07;3.53;6.8;11285.2
2008-12-01;0.16;211.398;14608.209;877.56;0.49;2.42;7.3;11565.9
2009-01-01;0.15;211.933;14430.902;865.58;0.44;2.52;7.8;11307.6
2009-02-01;0.22;212.705;14430.902;805.23;0.62;2.87;8.3;11484.8
2009-03-01;0.18;212.495;14430.902;757.13;0.64;2.82;8.7;11877.4
2009-04-01;0.15;212.709;14381.236;848.15;0.55;2.93;9.0;11817.0
2009-05-01;0.18;213.022;14381.236;902.41;0.5;3.29;9.4;11822.8
2009-06-01;0.21;214.79;14381.236;926.12;0.51;3.72;9.5;12003.0
2009-07-01;0.16;214.726;14448.882;935.82;0.48;3.56;9.5;12128.6
2009-08-01;0.16;215.445;14448.882;1009.73;0.46;3.59;9.6;12306.6
2009-09-01;0.15;215.861;14448.882;1044.55;0.4;3.4;9.8;12455.3
2009-10-01;0.12;216.509;14651.249;1067.66;0.37;3.39;10.0;12433.4
2009-11-01;0.12;217.234;14651.249;1088.07;0.31;3.4;9.9;12748.4
2009-12-01;0.12;217.347;14651.249;1110.38;0.37;3.59;9.9;12697.4
2010-01-01;0.11;217.488;14764.61;1123.58;0.35;3.73;9.8;12786.8
2010-02-01;0.13;217.281;14764.61;1089.16;0.35;3.69;9.8;12922.5
2010-03-01;0.16;217.353;14764.61;1152.05;0.4;3.73;9.9;13158.1
2010-04-01;0.2;217.403;14980.193;1197.32;0.45;3.85;9.9;13417.3
2010-05-01;0.2;217.29;14980.193;1125.06;0.37;3.42;9.6;13582.8
2010-06-01;0.18;217.199;14980.193;1083.36;0.32;3.2;9.4;13944.3
2010-07-01;0.18;217.605;15141.607;1079.8;0.29;3.01;9.4;14004.6
2010-08-01;0.19;217.923;15141.607;1087.28;0.26;2.7;9.5;14394.4
2010-09-01;0.19;218.275;15141.607;1122.08;0.26;2.65;9.5;14487.6
2010-10-01;0.19;219.035;15309.474;1171.58;0.23;2.54;9.4;14585.5
2010-11-01;0.19;219.59;15309.474;1198.89;0.25;2.76;9.8;14648.2
2010-12-01;0.18;220.472;15309.474;1241.53;0.29;3.29;9.3;14595.8
2011-01-01;0.17;221.187;15351.448;1282.62;0.27;3.39;9.1;14668.8
2011-02-01;0.16;221.898;15351.448;1321.12;0.29;3.58;9.0;14699.4
2011-03-01;0.14;223.046;15351.448;1304.49;0.26;3.41;9.0;14741.1
2011-04-01;0.1;224.093;15557.539;1331.51;0.25;3.46;9.1;14892.1
2011-05-01;0.09;224.806;15557.539;1338.31;0.19;3.17;9.0;15052.0
2011-06-01;0.09;224.806;15557.539;1287.29;0.18;3.0;9.1;14993.2
2011-07-01;0.07;225.395;15647.68;1325.19;0.19;3.0;9.0;15198.9
2011-08-01;0.1;226.106;15647.68;1185.31;0.11;2.3;9.0;15807.0
2011-09-01;0.08;226.597;15647.68;1173.88;0.1;1.98;9.0;16067.8
2011-10-01;0.07;226.75;15842.259;1207.22;0.11;2.15;8.8;16216.8
2011-11-01;0.08;227.169;15842.259;1226.42;0.11;2.01;8.6;16350.9
2011-12-01;0.07;227.223;15842.259;1243.32;0.12;1.98;8.5;16555.2
2012-01-01;0.08;227.842;16068.805;1300.58;0.12;1.97;8.3;16730.0
2012-02-01;0.1;228.329;16068.805;1352.49;0.16;1.97;8.3;16748.5
2012-03-01;0.13;228.807;16068.805;1389.24;0.19;2.17;8.2;16678.3
2012-04-01;0.14;229.187;16207.115;1386.43;0.18;2.05;8.2;16947.4
2012-05-01;0.16;228.713;16207.115;1341.27;0.19;1.8;8.2;17236.6
2012-06-01;0.16;228.524;16207.115;1323.48;0.19;1.62;8.2;17244.6
2012-07-01;0.16;228.59;16319.541;1359.78;0.19;1.53;8.2;17448.0
2012-08-01;0.13;229.918;16319.541;1403.45;0.18;1.68;8.1;17466.7
2012-09-01;0.14;231.015;16319.541;1443.42;0.18;1.72;7.8;17468.3
2012-10-01;0.16;231.638;16420.419;1437.82;0.18;1.75;7.8;17603.7
2012-11-01;0.16;231.249;16420.419;1394.51;0.18;1.65;7.7;17748.4
2012-12-01;0.16;231.221;16420.419;1422.29;0.16;1.72;7.9;17716.5
2013-01-01;0.14;231.679;16648.189;1480.4;0.15;1.91;8.0;17572.2
2013-02-01;0.15;232.937;16648.189;1512.31;0.16;1.98;7.7;17883.3
2013-03-01;0.14;232.282;16648.189;1550.83;0.15;1.96;7.5;17959.3
2013-04-01;0.15;231.797;16728.687;1570.7;0.12;1.76;7.6;18115.3
2013-05-01;0.11;231.893;16728.687;1639.84;0.12;1.93;7.5;17688.8
2013-06-01;0.09;232.445;16728.687;1618.77;0.14;2.3;7.5;17430.8
2013-07-01;0.09;232.9;16953.838;1668.68;0.12;2.58;7.3;17387.7
2013-08-01;0.08;233.456;16953.838;1670.09;0.13;2.74;7.2;17241.5
2013-09-01;0.08;233.544;16953.838;1687.17;0.12;2.81;7.2;17347.8
2013-10-01;0.09;233.669;17192.019;1720.03;0.12;2.62;7.2;17805.6
2013-11-01;0.08;234.1;17192.019;1783.54;0.12;2.72;6.9;17775.2
2013-12-01;0.09;234.719;17192.019;1807.78;0.13;2.9;6.7;17725.1
2014-01-01;0.07;235.288;17197.738;1822.36;0.12;2.86;6.6;17895.2
2014-02-01;0.07;235.547;17197.738;1817.04;0.12;2.71;6.7;18073.6
2014-03-01;0.08;236.028;17197.738;1863.52;0.13;2.72;6.7;18133.5
2014-04-01;0.09;236.468;17518.508;1864.26;0.11;2.71;6.2;18106.9
2014-05-01;0.09;236.918;17518.508;1889.77;0.1;2.56;6.3;18238.6
2014-06-01;0.1;237.231;17518.508;1947.09;0.1;2.6;6.1;18306.8
2014-07-01;0.09;237.498;17804.228;1973.1;0.11;2.54;6.2;18319.5
2014-08-01;0.09;237.46;17804.228;1961.53;0.11;2.42;6.1;18517.3
2014-09-01;0.09;237.477;17804.228;1993.23;0.11;2.53;5.9;18451.0
2014-10-01;0.09;237.43;17912.079;1937.27;0.1;2.3;5.7;18672.6
2014-11-01;0.09;236.983;17912.079;2044.57;0.13;2.33;5.8;18862.4
2014-12-01;0.12;236.252;17912.079;2054.27;0.21;2.21;5.6;18968.6
2015-01-01;0.11;234.747;18063.529;2028.18;0.2;1.88;5.7;19356.0
2015-02-01;0.11;235.342;18063.529;2082.2;0.22;1.98;5.5;19127.9
2015-03-01;0.11;235.976;18063.529;2079.99;0.25;2.04;5.4;19170.0
2015-04-01;0.12;236.222;18279.784;2094.86;0.23;1.94;5.4;19064.8
2015-05-01;0.12;237.001;18279.784;2111.94;0.24;2.2;5.6;18957.8
2015-06-01;0.13;237.657;18279.784;2099.29;0.28;2.36;5.3;18779.0
2015-07-01;0.13;238.034;18401.626;2094.14;0.3;2.32;5.2;18895.3
2015-08-01;0.14;238.033;18401.626;2039.87;0.38;2.17;5.1;18816.9
2015-09-01;0.14;237.498;18401.626;1944.41;0.37;2.17;5.0;18932.0
2015-10-01;0.12;237.733;18435.137;2024.81;0.26;2.07;5.0;18860.3
2015-11-01;0.12;238.017;18435.137;2080.62;0.48;2.26;5.1;19456.9
2015-12-01;0.24;237.761;18435.137;2054.08;0.65;2.24;5.0;19477.8
2016-01-01;0.34;237.652;18525.933;1918.6;0.54;2.09;4.8;19877.6
2016-02-01;0.38;237.336;18525.933;1904.42;0.53;1.78;4.9;20101.6
2016-03-01;0.36;238.08;18525.933;2021.95;0.66;1.89;5.0;20265.4
2016-04-01;0.37;238.992;18711.702;2075.54;0.56;1.81;5.1;20136.5
2016-05-01;0.37;239.557;18711.702;2065.55;0.59;1.81;4.8;20160.8
2016-06-01;0.38;240.222;18711.702;2083.89;0.55;1.64;4.9;20634.8
2016-07-01;0.39;240.101;18892.639;2148.9;0.51;1.5;4.8;20717.1
2016-08-01;0.4;240.545;18892.639;2170.95;0.57;1.56;4.9;20647.7
2016-09-01;0.4;241.176;18892.639;2157.69;0.59;1.63;5.0;20691.4
2016-10-01;0.4;241.741;19089.379;2143.02;0.66;1.76;4.9;20721.1
2016-11-01;0.41;242.026;19089.379;2164.99;0.74;2.14;4.7;20394.1
2016-12-01;0.54;242.637;19089.379;2246.63;0.87;2.49;4.7;20380.8
2017-01-01;0.65;243.618;19280.084;2275.12;0.83;2.43;4.7;20361.7
2017-02-01;0.66;244.006;19280.084;2329.91;0.82;2.42;4.6;20403.5
2017-03-01;0.79;243.892;19280.084;2366.82;1.01;2.48;4.4;20279.1
2017-04-01;0.9;244.193;19438.643;2359.31;1.04;2.3;4.4;20348.1
2017-05-01;0.91;244.004;19438.643;2395.35;1.12;2.3;4.4;20398.9
2017-06-01;1.04;244.163;19438.643;2433.99;1.2;2.19;4.3;20328.7
2017-07-01;1.15;244.243;19692.595;2454.1;1.22;2.32;4.3;20325.0
2017-08-01;1.16;245.183;19692.595;2456.22;1.23;2.21;4.4;20473.5
2017-09-01;1.15;246.435;19692.595;2492.84;1.28;2.2;4.3;20715.0
2017-10-01;1.15;246.626;20037.088;2557.0;1.4;2.36;4.2;20867.3
2017-11-01;1.16;247.284;20037.088;2593.61;1.56;2.35;4.2;20969.4
2017-12-01;1.3;247.805;20037.088;2664.34;1.7;2.4;4.1;20904.4
2018-01-01;1.41;248.859;20328.553;2789.8;1.8;2.58;4.0;20673.2
2018-02-01;1.42;249.529;20328.553;2705.16;1.96;2.86;4.1;20875.2
2018-03-01;1.51;249.577;20328.553;2702.77;2.06;2.84;4.0;21216.0
2018-04-01;1.69;250.227;20580.912;2653.63;2.15;2.87;4.0;21024.2
2018-05-01;1.7;250.792;20580.912;2701.49;2.27;2.98;3.8;21182.2
2018-06-01;1.82;251.018;20580.912;2754.35;2.33;2.91;4.0;21238.4
2018-07-01;1.91;251.214;20798.73;2793.64;2.39;2.89;3.8;21255.6
2018-08-01;1.91;251.663;20798.73;2857.82;2.45;2.89;3.8;21480.7
2018-09-01;1.95;252.182;20798.73;2901.5;2.56;3.0;3.7;21353.1
2018-10-01;2.19;252.772;20917.867;2785.46;2.65;3.15;3.8;21419.9
2018-11-01;2.2;252.594;20917.867;2723.23;2.7;3.12;3.8;21683.9
2018-12-01;2.27;252.767;20917.867;2567.31;2.66;2.83;3.9;22075.2
2019-01-01;2.4;252.718;21104.133;2607.39;2.58;2.71;4.0;22160.0
2019-02-01;2.4;253.322;21104.133;2754.86;2.55;2.68;3.8;22221.4
2019-03-01;2.41;254.202;21104.133;2803.98;2.49;2.57;3.8;22425.2
2019-04-01;2.42;255.211;21384.775;2903.8;2.42;2.53;3.6;22346.6
2019-05-01;2.39;255.29;21384.775;2854.71;2.34;2.4;3.7;22700.3
2019-06-01;2.38;255.159;21384.775;2890.17;2.0;2.07;3.6;22805.1
2019-07-01;2.4;255.685;21694.282;2996.11;1.96;2.06;3.7;22766.5
2019-08-01;2.13;256.059;21694.282;2897.5;1.77;1.63;3.7;23773.1
2019-09-01;2.04;256.511;21694.282;2982.16;1.8;1.7;3.5;23825.8
2019-10-01;1.83;257.244;21902.39;2977.68;1.61;1.71;3.6;24087.0
2019-11-01;1.55;257.803;21902.39;3104.9;1.57;1.81;3.6;24081.4
2019-12-01;1.55;258.616;21902.39;3176.75;1.55;1.86;3.6;24069.1
2020-01-01;1.55;259.037;21706.513;3278.2;1.53;1.76;3.5;24535.1
2020-02-01;1.58;259.248;21706.513;3277.31;1.41;1.5;3.5;25136.5
2020-03-01;0.65;258.124;21706.513;2652.39;0.33;0.87;4.4;25887.4
2020-04-01;0.05;256.092;19913.143;2761.98;0.18;0.66;14.7;27198.4
2020-05-01;0.05;255.868;19913.143;2919.61;0.16;0.67;13.2;27919.7
2020-06-01;0.08;256.986;19913.143;3104.66;0.18;0.73;11.0;28646.5
2020-07-01;0.09;258.278;21647.64;3207.62;0.15;0.62;10.2;28923.7
2020-08-01;0.1;259.411;21647.64;3391.71;0.13;0.65;8.4;28872.7
2020-09-01;0.09;260.029;21647.64;3365.52;0.13;0.68;7.9;29077.8
2020-10-01;0.09;260.286;22024.502;3418.7;0.13;0.79;6.9;29044.9
2020-11-01;0.09;260.813;22024.502;3548.99;0.12;0.87;6.7;29424.8
2020-12-01;0.09;262.035;22024.502;3695.31;0.1;0.93;6.7;29655.1
2021-01-01;0.09;262.65;22600.185;3793.75;0.1;1.08;6.3;29514.0
2021-02-01;0.08;263.638;22600.185;3883.43;0.07;1.26;6.2;29159.0
2021-03-01;0.07;264.914;22600.185;3910.51;0.08;1.61;6.1;29066.1
2021-04-01;0.07;266.67;23292.362;4141.18;0.06;1.64;6.1;29233.5
2021-05-01;0.06;268.444;23292.362;4167.85;0.05;1.62;5.8;29292.2
2021-06-01;0.08;270.559;23292.362;4238.49;0.07;1.52;5.9;29722.7
2021-07-01;0.1;271.764;23828.973;4363.71;0.08;1.32;5.4;29933.1
2021-08-01;0.09;272.87;23828.973;4454.21;0.07;1.28;5.2;29811.2
2021-09-01;0.08;274.028;23828.973;4445.54;0.08;1.37;4.8;29595.5
2021-10-01;0.08;276.522;24654.603;4460.71;0.11;1.58;4.5;30048.2
2021-11-01;0.08;278.711;24654.603;4667.39;0.18;1.56;4.2;30147.9
2021-12-01;0.08;280.887;24654.603;4674.77;0.3;1.47;3.9;30718.8
2022-01-01;0.08;282.599;25029.116;4573.82;0.55;1.76;4.0;30648.6
2022-02-01;0.08;284.61;25029.116;4435.98;1.0;1.93;3.8;30781.6
2022-03-01;0.2;287.472;25029.116;4391.27;1.34;2.13;3.6;30167.3
2022-04-01;0.33;288.611;25544.273;4391.3;1.89;2.75;3.6;29364.9
2022-05-01;0.77;291.268;25544.273;4040.36;2.06;2.9;3.6;29479.9
2022-06-01;1.21;294.728;25544.273;3898.95;2.65;3.14;3.6;29217.6
2022-07-01;1.68;294.628;25994.639;3911.73;3.02;2.9;3.5;29623.7
2022-08-01;2.33;295.32;25994.639;4158.56;3.28;2.9;3.7;29294.6
2022-09-01;2.56;296.539;25994.639;3850.52;3.89;3.52;3.5;28432.8
2022-10-01;3.08;297.987;26408.405;3726.05;4.43;3.98;3.7;28464.0
2022-11-01;3.78;298.598;26408.405;3917.49;4.73;3.89;3.6;29192.6
2022-12-01;4.1;298.99;26408.405;3912.38;4.68;3.62;3.5;28944.8
2023-01-01;4.33;300.536;26813.601;3960.66;4.69;3.53;3.4;29508.8
2023-02-01;4.57;301.648;26813.601;4079.68;4.93;3.75;3.6;29023.4
2023-03-01;4.65;301.808;26813.601;3968.56;4.68;3.66;3.5;29613.8
2023-04-01;4.83;302.918;27063.012;4121.47;4.68;3.46;3.4;29639.7
2023-05-01;5.06;303.294;27063.012;4146.17;4.91;3.57;3.7;29302.2
