best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000194, 0.00916184, 0.07129307, 0.11294027, 0.28345990, 0.08321995, 0.20681228
00000192, 0.00767995, 0.06533284, 0.06597792, 0.20977041, 0.29067454, 0.35167232
00000089, 0.02015943, 0.10001522, 0.14920032, 0.31670097, 0.09989085, 0.24211128
00000097, 0.01339792, 0.07842918, 0.21432853, 0.38439637, 0.06923103, 0.18707190
00000101, 0.01753066, 0.09324656, 0.10194180, 0.27520186, 0.59309959, 0.59582222
00000196, 0.00860757, 0.06897566, 0.21970147, 0.40968281, 0.07050290, 0.17531423
00000085, 0.01789004, 0.10471095, 0.18759559, 0.32595417, 0.17768872, 0.27502561
00000025, 0.19431117, 0.31823361, 0.14643389, 0.30383480, 0.39404356, 0.39708742
00000025, 0.19253725, 0.27586177, 0.23804063, 0.40861034, 0.47686616, 0.37677002
00000075, 0.01088409, 0.08062116, 0.10347213, 0.24191131, 0.28495169, 0.27961680
00000250, 0.00876472, 0.06564630, 0.07623863, 0.21830967, 0.05322816, 0.14092846
00000100, 0.02628274, 0.10611165, 0.13565034, 0.28933707, 0.25443444, 0.26953694
00000183, 0.00621460, 0.05721677, 0.08799066, 0.23333803, 0.06787392, 0.15871987
