best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000188, 0.03696455, 0.10338200, 0.24633905, 0.39842814, 0.13740565, 0.19758441
00000130, 0.05996194, 0.14093749, 0.25244164, 0.37586951, 0.21193409, 0.26225409
00000037, 0.14408037, 0.21616110, 0.26236376, 0.38363880, 0.35787103, 0.35010982
00000125, 0.04643199, 0.11135721, 0.16435216, 0.31693834, 0.12303334, 0.21117513
00000191, 0.03078774, 0.09119263, 0.11573528, 0.25691128, 0.07798052, 0.18104617
00000184, 0.03524079, 0.09786385, 0.18986987, 0.35415864, 0.08917869, 0.17127764
